timestamp,model,total_questions,cpu_time_total,cpu_time_avg,latency_total,latency_avg,search_count,no_search_count,avg_confidence,errors,discrepancies_total,avg_delta_conf,avg_abs_delta_conf,options_json,domains_json,source_file,search_rate,discrepancy_rate,options,opt_temperature,opt_top_p,opt_top_k,opt_num_predict,opt_repeat_penalty,opt_num_thread,opt_format
1757136588.977628,falcon3:1b,60,1.6875,0.028125,83.440295,1.390672,33,27,0.957,0,36,0.081667,0.095,"{""format"": ""json"", ""temperature"": 0.86, ""top_p"": 0.14, ""top_k"": 28, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 6, ""no_search"": 9, ""avg_confidence"": 0.9153333333333332, ""discrepancies"": 8, ""discrepancies_pct"": 0.5333333333333333, ""avg_delta_conf"": 0.04374999999999998}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9493333333333335, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.12416666666666669}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 6, ""no_search"": 9, ""avg_confidence"": 0.9920000000000002, ""discrepancies"": 7, ""discrepancies_pct"": 0.4666666666666667, ""avg_delta_conf"": 0.16857142857142854}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 9, ""no_search"": 6, ""avg_confidence"": 0.9713333333333336, ""discrepancies"": 9, ""discrepancies_pct"": 0.6, ""avg_delta_conf"": -0.008888888888888884}}",results.csv,0.55,0.6,"{'format': 'json', 'temperature': 0.86, 'top_p': 0.14, 'top_k': 28, 'repeat_penalty': 1.1, 'num_thread': 6, 'num_predict': 22, 'raw': True}",0.86,0.14,28,22,1.1,6,json
1757131701.668083,granite3.1-moe:1b,60,1.421875,0.023698,39.933097,0.665552,13,47,0.923167,0,26,0.064615,0.072308,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 0, ""no_search"": 15, ""avg_confidence"": 0.9453333333333332, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.04666666666666661}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.9339999999999998, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.10399999999999998}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.9019999999999998, ""discrepancies"": 6, ""discrepancies_pct"": 0.4, ""avg_delta_conf"": 0.10499999999999997}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 3, ""no_search"": 12, ""avg_confidence"": 0.9113333333333333, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": -0.010000000000000009}}",results.csv,0.21666666666666667,0.43333333333333335,"{'format': 'json', 'temperature': 0.19, 'top_p': 0.51, 'top_k': 3, 'repeat_penalty': 1.1, 'num_thread': 6, 'num_predict': 22, 'raw': True}",0.19,0.51,3,22,1.1,6,json
1757131914.8883646,granite3.3:2b,60,1.59375,0.026562,122.93341,2.04889,20,40,0.937667,0,17,0.075294,0.082353,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 7, ""no_search"": 8, ""avg_confidence"": 0.9586666666666664, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.08599999999999997}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.8566666666666667, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.07000000000000002}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 8, ""no_search"": 7, ""avg_confidence"": 0.9406666666666665, ""discrepancies"": 7, ""discrepancies_pct"": 0.4666666666666667, ""avg_delta_conf"": 0.07142857142857141}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 0, ""no_search"": 15, ""avg_confidence"": 0.9946666666666668, ""discrepancies"": 0, ""discrepancies_pct"": 0.0, ""avg_delta_conf"": 0.0}}",results.csv,0.3333333333333333,0.2833333333333333,"{'format': 'json', 'temperature': 0.19, 'top_p': 0.51, 'top_k': 3, 'repeat_penalty': 1.1, 'num_thread': 6, 'num_predict': 22, 'raw': True}",0.19,0.51,3,22,1.1,6,json
1757135254.5772235,llama3.2:1b,60,1.796875,0.029948,68.389773,1.13983,12,48,0.683833,0,21,-0.178095,0.208571,"{""format"": ""json"", ""temperature"": 0.65, ""top_p"": 0.28, ""top_k"": 23, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 2, ""no_search"": 13, ""avg_confidence"": 0.5279999999999999, ""discrepancies"": 10, ""discrepancies_pct"": 0.6666666666666666, ""avg_delta_conf"": -0.277}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 1, ""no_search"": 14, ""avg_confidence"": 0.6013333333333333, ""discrepancies"": 1, ""discrepancies_pct"": 0.06666666666666667, ""avg_delta_conf"": -0.030000000000000027}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 6, ""no_search"": 9, ""avg_confidence"": 0.7406666666666666, ""discrepancies"": 7, ""discrepancies_pct"": 0.4666666666666667, ""avg_delta_conf"": -0.07142857142857142}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 3, ""no_search"": 12, ""avg_confidence"": 0.8653333333333334, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": -0.1466666666666667}}",results.csv,0.2,0.35,"{'format': 'json', 'temperature': 0.65, 'top_p': 0.28, 'top_k': 23, 'repeat_penalty': 1.1, 'num_thread': 6, 'num_predict': 22, 'raw': True}",0.65,0.28,23,22,1.1,6,json
1757142045.4091392,phi4-mini:3.8b,60,1.640625,0.027344,155.333235,2.588887,40,20,0.923333,0,27,0.042593,0.055926,"{""format"": ""json"", ""temperature"": 0.65, ""top_p"": 0.21, ""top_k"": 20, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 15, ""no_search"": 0, ""avg_confidence"": 0.913333333333333, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": 0.09999999999999998}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.8799999999999998, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.022500000000000003}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9033333333333331, ""discrepancies"": 11, ""discrepancies_pct"": 0.7333333333333333, ""avg_delta_conf"": 0.05545454545454542}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 1, ""no_search"": 14, ""avg_confidence"": 0.9966666666666666, ""discrepancies"": 1, ""discrepancies_pct"": 0.06666666666666667, ""avg_delta_conf"": -0.030000000000000027}}",results2.csv,0.6666666666666666,0.45,"{'format': 'json', 'temperature': 0.65, 'top_p': 0.21, 'top_k': 20, 'repeat_penalty': 1.1, 'num_thread': 6, 'num_predict': 22, 'raw': True}",0.65,0.21,20,22,1.1,6,json
1757137959.672583,qwen2.5:0.5b-instruct,60,1.5625,0.026042,37.70784,0.628464,36,24,0.985333,0,23,0.122609,0.125217,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 15, ""no_search"": 0, ""avg_confidence"": 0.99, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": 0.19999999999999998}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 8, ""no_search"": 7, ""avg_confidence"": 0.9753333333333332, ""discrepancies"": 8, ""discrepancies_pct"": 0.5333333333333333, ""avg_delta_conf"": 0.13124999999999998}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 7, ""no_search"": 8, ""avg_confidence"": 0.9839999999999999, ""discrepancies"": 6, ""discrepancies_pct"": 0.4, ""avg_delta_conf"": 0.18666666666666665}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 6, ""no_search"": 9, ""avg_confidence"": 0.9920000000000001, ""discrepancies"": 6, ""discrepancies_pct"": 0.4, ""avg_delta_conf"": 0.00833333333333334}}",results2.csv,0.6,0.38333333333333336,"{'format': 'json', 'temperature': 0.19, 'top_p': 0.51, 'top_k': 3, 'repeat_penalty': 1.1, 'num_thread': 6, 'num_predict': 22, 'raw': True}",0.19,0.51,3,22,1.1,6,json
